, neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,Class 2,n_asym_edges,n_asym_out_edges,n_asym_in_edges
15688523, (CPa Minnow right) [*CPa_r akira] #15688523,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,5675990,141,,22,10,12
16098538, (DPLm2 gnarled left) [*DPLm2_l akira] #16098538,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8670503,747,,22,9,13
9808146, (AF13: 3rd-order Thermo (possible PVL005 )4 Right) [*BLVa34_r akira] #9808146,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,4636432,107,,22,11,11
16131474,MB2IN-173 (LQ: weak on PVL09 & MBE24 (LNM_downstream3)_right) [unknown lineage] #16131474,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,9488991,348,,22,14,8
9097065, (DPlal crinkled 2 right) [*DPLal1-3_r akira] #9097065,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16851718,842,,22,6,16
2439067,LH-24 (T3: PVLr_left) [*BLAvm post_l akira] #2439067,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,3814853,12,,22,17,5
8712361,CN-44,FAN,FAN,FALSE,FALSE,FALSE,TRUE,R,17150791,894,,22,9,13
16422727, (BLP34 descending 2 left) [*BLP34_l akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,20443362,768,,22,5,17
8704079, mPN iACT B3 (mPN iACT B3 left) [*BAlp4_l akira] #8704079,mPN,mPN-multi,FALSE,FALSE,FALSE,TRUE,L,16735586,289,multi,22,22,0
17822238,CN-22,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8037197,249,,22,16,6
17769815, (CM13 med 9 left) [*CM13_med_l akira] #17769815,Unk,Unk,FALSE,TRUE,TRUE,TRUE,L,16690648,1001,,22,0,22
17340955, (DALcl12 v d 4 L) [*DALcl12-v_l akira] #17340955,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15605297,919,,22,18,4
19881737, (CP contralateral left) [*CPd_l akira] #19881737,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,2505266,1066,,22,8,14
6451332, mPN D (mPN D left) [unknown lineage] #6451332,mPN,mPN-olfac,FALSE,FALSE,FALSE,TRUE,L,3538129,181,olfac,22,21,1
17671375,MB2ON-243 (BLVa12 a 9 right) [*BLVa12_r akira] #17671375,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10958210,456,,22,15,7
5656152,MB2IN-83 (Review weird fork) [*CPe_r akira] #5656152,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15577444,698,,22,7,15
13953184, (DAMd23 bilateral right; no loSM branch) [*DAMd23_r akira] #13953184,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16361363,761,,22,6,16
17962513, (BLAd lat 1 neuron 8842221_sibling left **MISSING DENDRITE**) [*BLAd-vm_l akira] #17962513,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8842220,1013,,22,15,7
16913476,MB2ON-64 (WI; CM4 dor ant 10 to LAL_right) [*CM4-dm_r akira] #16913476,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10017944,378,,21,7,14
9577562, (BLVp12 sickle 1 left) [*BLVp1_l akira] #9577562,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17132009,356,,21,14,7
18598859, (Giant-step right) [unknown lineage] #18598859,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17844900,1010,,21,2,19
5946241, (BLAv12 lat bilateral neuron 1 right) [*BLAv12_lat_r akira] #5946241,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10282065,393,,21,20,1
9848760,FAN-5,FAN,FAN,FALSE,FALSE,FALSE,TRUE,R,17300165,914,,21,18,3
15568134,MB2IN-93 (Bilaterial downstream BPL-to-MB left) [*CPd_l akira] #15568134,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,5973097,695,,21,14,7
15517247,MB2IN-160 (DALcm12 L v e 1) [*DALcm12-m_l akira] #15517247,Unk,Unk,FALSE,TRUE,TRUE,TRUE,L,16335254,685,,21,0,21
2612527,MB2IN-151,mPN,mPN-multi,FALSE,FALSE,FALSE,TRUE,L,4391978,17,multi,21,21,0
16181130, (SLO_right) [*DPMl_ant_ven_r akira] #16181130,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,3043970,26,,21,2,19
15676571,MB2ON-242 (DPLp 1 right) [*DPLp_r akira] #15676571,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16799939,835,,21,12,9
16340977, (Dorsal contralateral 1 left) [*DPMpm1_l akira] #16340977,O_dSEZ,O_dSEZ,FALSE,FALSE,FALSE,TRUE,L,18232369,756,,21,9,12
7503199,MB2ON-257,mPN,mPN-multi,FALSE,FALSE,FALSE,TRUE,R,9589146,357,multi,21,21,0
2669331, (DPMpm1 horseshoe right) [*DPMpm1_r akira] #2669331,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10760217,435,,21,2,19
15639331, (MB2IN-161 right alternative) [*DPLal1-3_r akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15639216,714,,21,15,6
17360593, (AF3 right) [*DPLm_r akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17244655,909,,21,8,13
15894178, (UNK descending contralateral 2 right) [unknown lineage] #15894178,O_dVNC,O_dVNC,FALSE,FALSE,FALSE,TRUE,R,16562142,814,,21,2,19
8723267, (AF7: PDL_right_sibling 35) [unknown lineage] #8723267,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12387154,552,,21,13,8
16544485, (ASB LH Interneuron left ) [*DPLm2_l akira] #16544485,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17937123,798,,21,7,14
20106468, (BLVp1 bilateral 5 right) [*BLVp1_r akira] #20106468,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17430685,957,,21,13,8
11013351,CN-12,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,11909406,466,,21,7,14
5186443,MB2ON-170 (DALcm12 L m ant lat 1 left) [*DALcm12-v_l akira] #5186443,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,4346154,128,,21,7,14
3945136, (DAMv12 Mandible 2 left) [*DAMv12_med_l akira] #3945136,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,13948718,58,,21,6,15
15605987,MB2IN-196 (UT: BLAv12-1_right) [*BLAvm post_r akira] #15605987,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,5118060,126,,21,19,2
8864778, (CPf small bilateral left) [*CPf_l akira] #8864778,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,9767705,300,,21,8,13
6111289, (CM4 contralateral 2 right; DPMpm b 4 MEF int comm; CM4 dor pos 4) [*CM4-dm_r akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17306107,915,,21,7,14
5321459,CN-13,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,10809383,440,,20,7,13
5585799,MB2IN-174 (SY: TO REVIEW_right) [unknown lineage] #5585799,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,4393026,86,,20,7,13
16339645,CN-51,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12868041,585,,20,5,15
